categoryId	categoryName	goodsId	goodsName	fluxNum
13	奇幻区	1880589704739725312	伏虎罗汉	200
13	奇幻区	1880573506241208320	奇幻卡	1249
13	奇幻区	1878969387843887104	女儿国国王	288
13	奇幻区	1880153877465477120	降龙罗汉	200
13	奇幻区	1879858175210975232	五指山	100
13	奇幻区	1880070553613660160	乾坤袋	199
13	奇幻区	1879352152893190144	孙悟空	100
13	奇幻区	1878961300418539520	东海龙王	198
13	奇幻区	1876901375817838592	真武大帝	100
13	奇幻区	1875002357369315328	地藏菩萨	83
13	奇幻区	1872118321624068096	托塔天王	195
13	奇幻区	1871365542792687616	唐僧	100
13	奇幻区	1869528510258163712	南海珞珈山	200
13	奇幻区	1864834814326358016	红孩儿	200
13	奇幻区	1864837803711242240	白龙马	190
13	奇幻区	1864832220256272384	猪八戒	205
13	奇幻区	1864624738380546048	沙僧	200
13	奇幻区	1861732747997085696	西行之路	589
11	文博区	1871417044237758464	绿松石象牙杯	189
11	文博区	1862045082758414336	毛公鼎	300
11	文博区	1865242529481203712	牛首	188
11	文博区	1863783541873311744	龙首	174
11	文博区	1862049985958510592	石鼓文	300
11	文博区	1861720989443661824	仰韶彩陶	2841
11	文博区	1861657325661847552	斗彩鸡缸杯	100
11	文博区	1861251232262234112	金枝玉叶	105
12	文创区	1879027343901892608	楠溪江	227
12	文创区	1879367276030107648	大明湖	200
12	文创区	1872467499923484672	秀山岛	200
12	文创区	1860831591035543552	西塘古镇	177
12	文创区	1863037695693176832	君桐山	360
12	文创区	1862712803806429184	垂云通天河	187
12	文创区	1861175217833877504	乌镇记忆	100
12	文创区	1860521404038881280	那年夏天宁静的海	200
12	文创区	1858349290663182336	鄂温克人与驯鹿	200
12	文创区	1857608048051200000	南北湖	200
12	文创区	1855064176857935872	夕阳下的沙滩	200
20	材料区	1860127494196142080	深秋	983
20	材料区	1706900174038491136	鲸卡	1647
20	材料区	1851438829599944704	游天下	1056
20	材料区	1848636255936421888	易经	3481
20	材料区	1831496920973869056	诗经	1791
5	藏鲸灵	1874717036012580864	数藏酒-茅香2025	500
5	藏鲸灵	1878999342321541120	RWA纪念卡	500
5	藏鲸灵	1821072718489481216	加密豚#1号手办	200
5	藏鲸灵	1814298690329841664	甜心仙人掌开业纪念	80
5	藏鲸灵	1794963069334106112	美萌诗创世卡牌	10000
5	藏鲸灵	1709420440407228416	顾景舟三联书法	500
5	藏鲸灵	1689461132141051904	藏鲸灵周年勋章	193
5	藏鲸灵	1586768388901883904	藏鲸灵创世3D徽章	50
